ID,Age Group,Gender,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0240,Young Adult (18-25),Female,Journalist,Mental Health Condition,young female journalist,"young female journalist, mental health condition"
DCDD_0241,Young Adult (18-25),Female,Photographer,Mobility Impairment,young female photographer,"young female photographer, mobility impairment"
DCDD_0242,Young Adult (18-25),Female,Photographer,Vision Impairment,young female photographer,"young female photographer, vision impairment"
DCDD_0243,Young Adult (18-25),Female,Photographer,Hearing Impairment,young female photographer,"young female photographer, hearing impairment"
DCDD_0244,Young Adult (18-25),Female,Photographer,Mental Health Condition,young female photographer,"young female photographer, mental health condition"
DCDD_0245,Young Adult (18-25),Female,Graphic Designer,Mobility Impairment,young female graphic designer,"young female graphic designer, mobility impairment"
DCDD_0246,Young Adult (18-25),Female,Graphic Designer,Vision Impairment,young female graphic designer,"young female graphic designer, vision impairment"
DCDD_0247,Young Adult (18-25),Female,Graphic Designer,Hearing Impairment,young female graphic designer,"young female graphic designer, hearing impairment"
DCDD_0248,Young Adult (18-25),Female,Graphic Designer,Mental Health Condition,young female graphic designer,"young female graphic designer, mental health condition"
DCDD_0249,Young Adult (18-25),Female,Construction Worker,Mobility Impairment,young female construction worker,"young female construction worker, mobility impairment"
DCDD_0250,Young Adult (18-25),Female,Construction Worker,Vision Impairment,young female construction worker,"young female construction worker, vision impairment"
DCDD_0251,Young Adult (18-25),Female,Construction Worker,Hearing Impairment,young female construction worker,"young female construction worker, hearing impairment"
DCDD_0252,Young Adult (18-25),Female,Construction Worker,Mental Health Condition,young female construction worker,"young female construction worker, mental health condition"
DCDD_0253,Young Adult (18-25),Female,Electrician,Mobility Impairment,young female electrician,"young female electrician, mobility impairment"
DCDD_0254,Young Adult (18-25),Female,Electrician,Vision Impairment,young female electrician,"young female electrician, vision impairment"
DCDD_0255,Young Adult (18-25),Female,Electrician,Hearing Impairment,young female electrician,"young female electrician, hearing impairment"
DCDD_0256,Young Adult (18-25),Female,Electrician,Mental Health Condition,young female electrician,"young female electrician, mental health condition"
DCDD_0257,Young Adult (18-25),Female,Factory Worker,Mobility Impairment,young female factory worker,"young female factory worker, mobility impairment"
DCDD_0258,Young Adult (18-25),Female,Factory Worker,Vision Impairment,young female factory worker,"young female factory worker, vision impairment"
DCDD_0259,Young Adult (18-25),Female,Factory Worker,Hearing Impairment,young female factory worker,"young female factory worker, hearing impairment"
DCDD_0260,Young Adult (18-25),Female,Factory Worker,Mental Health Condition,young female factory worker,"young female factory worker, mental health condition"
DCDD_0261,Young Adult (18-25),Female,Farmer,Mobility Impairment,young female farmer,"young female farmer, mobility impairment"
DCDD_0262,Young Adult (18-25),Female,Farmer,Vision Impairment,young female farmer,"young female farmer, vision impairment"
DCDD_0263,Young Adult (18-25),Female,Farmer,Hearing Impairment,young female farmer,"young female farmer, hearing impairment"
DCDD_0264,Young Adult (18-25),Female,Farmer,Mental Health Condition,young female farmer,"young female farmer, mental health condition"
DCDD_0265,Young Adult (18-25),Female,Agricultural Technician,Mobility Impairment,young female agricultural technician,"young female agricultural technician, mobility impairment"
DCDD_0266,Young Adult (18-25),Female,Agricultural Technician,Vision Impairment,young female agricultural technician,"young female agricultural technician, vision impairment"
DCDD_0267,Young Adult (18-25),Female,Agricultural Technician,Hearing Impairment,young female agricultural technician,"young female agricultural technician, hearing impairment"
DCDD_0268,Young Adult (18-25),Female,Agricultural Technician,Mental Health Condition,young female agricultural technician,"young female agricultural technician, mental health condition"
DCDD_0269,Young Adult (18-25),Female,Fisher,Mobility Impairment,young female fisher,"young female fisher, mobility impairment"
DCDD_0270,Young Adult (18-25),Female,Fisher,Vision Impairment,young female fisher,"young female fisher, vision impairment"
DCDD_0271,Young Adult (18-25),Female,Fisher,Hearing Impairment,young female fisher,"young female fisher, hearing impairment"
DCDD_0272,Young Adult (18-25),Female,Fisher,Mental Health Condition,young female fisher,"young female fisher, mental health condition"
DCDD_0273,Young Adult (18-25),Female,Police Officer,Mobility Impairment,young female police officer,"young female police officer, mobility impairment"
DCDD_0274,Young Adult (18-25),Female,Police Officer,Vision Impairment,young female police officer,"young female police officer, vision impairment"
DCDD_0275,Young Adult (18-25),Female,Police Officer,Hearing Impairment,young female police officer,"young female police officer, hearing impairment"
DCDD_0276,Young Adult (18-25),Female,Police Officer,Mental Health Condition,young female police officer,"young female police officer, mental health condition"
DCDD_0277,Young Adult (18-25),Female,Firefighter,Mobility Impairment,young female firefighter,"young female firefighter, mobility impairment"
DCDD_0278,Young Adult (18-25),Female,Firefighter,Vision Impairment,young female firefighter,"young female firefighter, vision impairment"
DCDD_0279,Young Adult (18-25),Female,Firefighter,Hearing Impairment,young female firefighter,"young female firefighter, hearing impairment"
DCDD_0280,Young Adult (18-25),Female,Firefighter,Mental Health Condition,young female firefighter,"young female firefighter, mental health condition"
DCDD_0281,Young Adult (18-25),Female,Civil Servant,Mobility Impairment,young female civil servant,"young female civil servant, mobility impairment"
DCDD_0282,Young Adult (18-25),Female,Civil Servant,Vision Impairment,young female civil servant,"young female civil servant, vision impairment"
DCDD_0283,Young Adult (18-25),Female,Civil Servant,Hearing Impairment,young female civil servant,"young female civil servant, hearing impairment"
DCDD_0284,Young Adult (18-25),Female,Civil Servant,Mental Health Condition,young female civil servant,"young female civil servant, mental health condition"
DCDD_0285,Young Adult (18-25),Female,Unemployed Person,Mobility Impairment,young female unemployed person,"young female unemployed person, mobility impairment"
DCDD_0286,Young Adult (18-25),Female,Unemployed Person,Vision Impairment,young female unemployed person,"young female unemployed person, vision impairment"
DCDD_0287,Young Adult (18-25),Female,Unemployed Person,Hearing Impairment,young female unemployed person,"young female unemployed person, hearing impairment"
DCDD_0288,Young Adult (18-25),Female,Unemployed Person,Mental Health Condition,young female unemployed person,"young female unemployed person, mental health condition"
DCDD_0289,Adult (26-40),Male,School Teacher,Mobility Impairment,adult male school teacher,"adult male school teacher, mobility impairment"
DCDD_0290,Adult (26-40),Male,School Teacher,Vision Impairment,adult male school teacher,"adult male school teacher, vision impairment"
DCDD_0291,Adult (26-40),Male,School Teacher,Hearing Impairment,adult male school teacher,"adult male school teacher, hearing impairment"
DCDD_0292,Adult (26-40),Male,School Teacher,Mental Health Condition,adult male school teacher,"adult male school teacher, mental health condition"
DCDD_0293,Adult (26-40),Male,University Professor,Mobility Impairment,adult male university professor,"adult male university professor, mobility impairment"
DCDD_0294,Adult (26-40),Male,University Professor,Vision Impairment,adult male university professor,"adult male university professor, vision impairment"
DCDD_0295,Adult (26-40),Male,University Professor,Hearing Impairment,adult male university professor,"adult male university professor, hearing impairment"
DCDD_0296,Adult (26-40),Male,University Professor,Mental Health Condition,adult male university professor,"adult male university professor, mental health condition"
DCDD_0297,Adult (26-40),Male,Tutor,Mobility Impairment,adult male tutor,"adult male tutor, mobility impairment"
DCDD_0298,Adult (26-40),Male,Tutor,Vision Impairment,adult male tutor,"adult male tutor, vision impairment"
DCDD_0299,Adult (26-40),Male,Tutor,Hearing Impairment,adult male tutor,"adult male tutor, hearing impairment"
DCDD_0300,Adult (26-40),Male,Tutor,Mental Health Condition,adult male tutor,"adult male tutor, mental health condition"
DCDD_0301,Adult (26-40),Male,Doctor,Mobility Impairment,adult male doctor,"adult male doctor, mobility impairment"
DCDD_0302,Adult (26-40),Male,Doctor,Vision Impairment,adult male doctor,"adult male doctor, vision impairment"
DCDD_0303,Adult (26-40),Male,Doctor,Hearing Impairment,adult male doctor,"adult male doctor, hearing impairment"
DCDD_0304,Adult (26-40),Male,Doctor,Mental Health Condition,adult male doctor,"adult male doctor, mental health condition"
DCDD_0305,Adult (26-40),Male,Nurse,Mobility Impairment,adult male nurse,"adult male nurse, mobility impairment"
DCDD_0306,Adult (26-40),Male,Nurse,Vision Impairment,adult male nurse,"adult male nurse, vision impairment"
DCDD_0307,Adult (26-40),Male,Nurse,Hearing Impairment,adult male nurse,"adult male nurse, hearing impairment"
DCDD_0308,Adult (26-40),Male,Nurse,Mental Health Condition,adult male nurse,"adult male nurse, mental health condition"
DCDD_0309,Adult (26-40),Male,Physical Therapist,Mobility Impairment,adult male physical therapist,"adult male physical therapist, mobility impairment"
DCDD_0310,Adult (26-40),Male,Physical Therapist,Vision Impairment,adult male physical therapist,"adult male physical therapist, vision impairment"
DCDD_0311,Adult (26-40),Male,Physical Therapist,Hearing Impairment,adult male physical therapist,"adult male physical therapist, hearing impairment"
DCDD_0312,Adult (26-40),Male,Physical Therapist,Mental Health Condition,adult male physical therapist,"adult male physical therapist, mental health condition"
DCDD_0313,Adult (26-40),Male,Accountant,Mobility Impairment,adult male accountant,"adult male accountant, mobility impairment"
DCDD_0314,Adult (26-40),Male,Accountant,Vision Impairment,adult male accountant,"adult male accountant, vision impairment"
DCDD_0315,Adult (26-40),Male,Accountant,Hearing Impairment,adult male accountant,"adult male accountant, hearing impairment"
DCDD_0316,Adult (26-40),Male,Accountant,Mental Health Condition,adult male accountant,"adult male accountant, mental health condition"
DCDD_0317,Adult (26-40),Male,Investment Analyst,Mobility Impairment,adult male investment analyst,"adult male investment analyst, mobility impairment"
DCDD_0318,Adult (26-40),Male,Investment Analyst,Vision Impairment,adult male investment analyst,"adult male investment analyst, vision impairment"
DCDD_0319,Adult (26-40),Male,Investment Analyst,Hearing Impairment,adult male investment analyst,"adult male investment analyst, hearing impairment"
DCDD_0320,Adult (26-40),Male,Investment Analyst,Mental Health Condition,adult male investment analyst,"adult male investment analyst, mental health condition"
DCDD_0321,Adult (26-40),Male,Bank Teller,Mobility Impairment,adult male bank teller,"adult male bank teller, mobility impairment"
DCDD_0322,Adult (26-40),Male,Bank Teller,Vision Impairment,adult male bank teller,"adult male bank teller, vision impairment"
DCDD_0323,Adult (26-40),Male,Bank Teller,Hearing Impairment,adult male bank teller,"adult male bank teller, hearing impairment"
DCDD_0324,Adult (26-40),Male,Bank Teller,Mental Health Condition,adult male bank teller,"adult male bank teller, mental health condition"
DCDD_0325,Adult (26-40),Male,Software Engineer,Mobility Impairment,adult male software engineer,"adult male software engineer, mobility impairment"
DCDD_0326,Adult (26-40),Male,Software Engineer,Vision Impairment,adult male software engineer,"adult male software engineer, vision impairment"
DCDD_0327,Adult (26-40),Male,Software Engineer,Hearing Impairment,adult male software engineer,"adult male software engineer, hearing impairment"
DCDD_0328,Adult (26-40),Male,Software Engineer,Mental Health Condition,adult male software engineer,"adult male software engineer, mental health condition"
DCDD_0329,Adult (26-40),Male,Data Scientist,Mobility Impairment,adult male data scientist,"adult male data scientist, mobility impairment"
DCDD_0330,Adult (26-40),Male,Data Scientist,Vision Impairment,adult male data scientist,"adult male data scientist, vision impairment"
DCDD_0331,Adult (26-40),Male,Data Scientist,Hearing Impairment,adult male data scientist,"adult male data scientist, hearing impairment"
DCDD_0332,Adult (26-40),Male,Data Scientist,Mental Health Condition,adult male data scientist,"adult male data scientist, mental health condition"
DCDD_0333,Adult (26-40),Male,IT Support Technician,Mobility Impairment,adult male it support technician,"adult male it support technician, mobility impairment"
DCDD_0334,Adult (26-40),Male,IT Support Technician,Vision Impairment,adult male it support technician,"adult male it support technician, vision impairment"
DCDD_0335,Adult (26-40),Male,IT Support Technician,Hearing Impairment,adult male it support technician,"adult male it support technician, hearing impairment"
DCDD_0336,Adult (26-40),Male,IT Support Technician,Mental Health Condition,adult male it support technician,"adult male it support technician, mental health condition"
DCDD_0337,Adult (26-40),Male,Chef,Mobility Impairment,adult male chef,"adult male chef, mobility impairment"
DCDD_0338,Adult (26-40),Male,Chef,Vision Impairment,adult male chef,"adult male chef, vision impairment"
DCDD_0339,Adult (26-40),Male,Chef,Hearing Impairment,adult male chef,"adult male chef, hearing impairment"
DCDD_0340,Adult (26-40),Male,Chef,Mental Health Condition,adult male chef,"adult male chef, mental health condition"
DCDD_0341,Adult (26-40),Male,Hotel Receptionist,Mobility Impairment,adult male hotel receptionist,"adult male hotel receptionist, mobility impairment"
DCDD_0342,Adult (26-40),Male,Hotel Receptionist,Vision Impairment,adult male hotel receptionist,"adult male hotel receptionist, vision impairment"
DCDD_0343,Adult (26-40),Male,Hotel Receptionist,Hearing Impairment,adult male hotel receptionist,"adult male hotel receptionist, hearing impairment"
DCDD_0344,Adult (26-40),Male,Hotel Receptionist,Mental Health Condition,adult male hotel receptionist,"adult male hotel receptionist, mental health condition"
DCDD_0345,Adult (26-40),Male,Waiter,Mobility Impairment,adult male waiter,"adult male waiter, mobility impairment"
DCDD_0346,Adult (26-40),Male,Waiter,Vision Impairment,adult male waiter,"adult male waiter, vision impairment"
DCDD_0347,Adult (26-40),Male,Waiter,Hearing Impairment,adult male waiter,"adult male waiter, hearing impairment"
DCDD_0348,Adult (26-40),Male,Waiter,Mental Health Condition,adult male waiter,"adult male waiter, mental health condition"
DCDD_0349,Adult (26-40),Male,Journalist,Mobility Impairment,adult male journalist,"adult male journalist, mobility impairment"
DCDD_0350,Adult (26-40),Male,Journalist,Vision Impairment,adult male journalist,"adult male journalist, vision impairment"
DCDD_0351,Adult (26-40),Male,Journalist,Hearing Impairment,adult male journalist,"adult male journalist, hearing impairment"
DCDD_0352,Adult (26-40),Male,Journalist,Mental Health Condition,adult male journalist,"adult male journalist, mental health condition"
DCDD_0353,Adult (26-40),Male,Photographer,Mobility Impairment,adult male photographer,"adult male photographer, mobility impairment"
DCDD_0354,Adult (26-40),Male,Photographer,Vision Impairment,adult male photographer,"adult male photographer, vision impairment"
DCDD_0355,Adult (26-40),Male,Photographer,Hearing Impairment,adult male photographer,"adult male photographer, hearing impairment"
DCDD_0356,Adult (26-40),Male,Photographer,Mental Health Condition,adult male photographer,"adult male photographer, mental health condition"
DCDD_0357,Adult (26-40),Male,Graphic Designer,Mobility Impairment,adult male graphic designer,"adult male graphic designer, mobility impairment"
DCDD_0358,Adult (26-40),Male,Graphic Designer,Vision Impairment,adult male graphic designer,"adult male graphic designer, vision impairment"
DCDD_0359,Adult (26-40),Male,Graphic Designer,Hearing Impairment,adult male graphic designer,"adult male graphic designer, hearing impairment"
DCDD_0360,Adult (26-40),Male,Graphic Designer,Mental Health Condition,adult male graphic designer,"adult male graphic designer, mental health condition"
DCDD_0361,Adult (26-40),Male,Construction Worker,Mobility Impairment,adult male construction worker,"adult male construction worker, mobility impairment"
DCDD_0362,Adult (26-40),Male,Construction Worker,Vision Impairment,adult male construction worker,"adult male construction worker, vision impairment"
DCDD_0363,Adult (26-40),Male,Construction Worker,Hearing Impairment,adult male construction worker,"adult male construction worker, hearing impairment"
DCDD_0364,Adult (26-40),Male,Construction Worker,Mental Health Condition,adult male construction worker,"adult male construction worker, mental health condition"
DCDD_0365,Adult (26-40),Male,Electrician,Mobility Impairment,adult male electrician,"adult male electrician, mobility impairment"
DCDD_0366,Adult (26-40),Male,Electrician,Vision Impairment,adult male electrician,"adult male electrician, vision impairment"
DCDD_0367,Adult (26-40),Male,Electrician,Hearing Impairment,adult male electrician,"adult male electrician, hearing impairment"
DCDD_0368,Adult (26-40),Male,Electrician,Mental Health Condition,adult male electrician,"adult male electrician, mental health condition"
DCDD_0369,Adult (26-40),Male,Factory Worker,Mobility Impairment,adult male factory worker,"adult male factory worker, mobility impairment"
DCDD_0370,Adult (26-40),Male,Factory Worker,Vision Impairment,adult male factory worker,"adult male factory worker, vision impairment"
DCDD_0371,Adult (26-40),Male,Factory Worker,Hearing Impairment,adult male factory worker,"adult male factory worker, hearing impairment"
DCDD_0372,Adult (26-40),Male,Factory Worker,Mental Health Condition,adult male factory worker,"adult male factory worker, mental health condition"
DCDD_0373,Adult (26-40),Male,Farmer,Mobility Impairment,adult male farmer,"adult male farmer, mobility impairment"
DCDD_0374,Adult (26-40),Male,Farmer,Vision Impairment,adult male farmer,"adult male farmer, vision impairment"
DCDD_0375,Adult (26-40),Male,Farmer,Hearing Impairment,adult male farmer,"adult male farmer, hearing impairment"
DCDD_0376,Adult (26-40),Male,Farmer,Mental Health Condition,adult male farmer,"adult male farmer, mental health condition"
DCDD_0377,Adult (26-40),Male,Agricultural Technician,Mobility Impairment,adult male agricultural technician,"adult male agricultural technician, mobility impairment"
DCDD_0378,Adult (26-40),Male,Agricultural Technician,Vision Impairment,adult male agricultural technician,"adult male agricultural technician, vision impairment"
DCDD_0379,Adult (26-40),Male,Agricultural Technician,Hearing Impairment,adult male agricultural technician,"adult male agricultural technician, hearing impairment"
DCDD_0380,Adult (26-40),Male,Agricultural Technician,Mental Health Condition,adult male agricultural technician,"adult male agricultural technician, mental health condition"
DCDD_0381,Adult (26-40),Male,Fisher,Mobility Impairment,adult male fisher,"adult male fisher, mobility impairment"
DCDD_0382,Adult (26-40),Male,Fisher,Vision Impairment,adult male fisher,"adult male fisher, vision impairment"
DCDD_0383,Adult (26-40),Male,Fisher,Hearing Impairment,adult male fisher,"adult male fisher, hearing impairment"
DCDD_0384,Adult (26-40),Male,Fisher,Mental Health Condition,adult male fisher,"adult male fisher, mental health condition"
DCDD_0385,Adult (26-40),Male,Police Officer,Mobility Impairment,adult male police officer,"adult male police officer, mobility impairment"
DCDD_0386,Adult (26-40),Male,Police Officer,Vision Impairment,adult male police officer,"adult male police officer, vision impairment"
DCDD_0387,Adult (26-40),Male,Police Officer,Hearing Impairment,adult male police officer,"adult male police officer, hearing impairment"
DCDD_0388,Adult (26-40),Male,Police Officer,Mental Health Condition,adult male police officer,"adult male police officer, mental health condition"
DCDD_0389,Adult (26-40),Male,Firefighter,Mobility Impairment,adult male firefighter,"adult male firefighter, mobility impairment"
DCDD_0390,Adult (26-40),Male,Firefighter,Vision Impairment,adult male firefighter,"adult male firefighter, vision impairment"
DCDD_0391,Adult (26-40),Male,Firefighter,Hearing Impairment,adult male firefighter,"adult male firefighter, hearing impairment"
DCDD_0392,Adult (26-40),Male,Firefighter,Mental Health Condition,adult male firefighter,"adult male firefighter, mental health condition"
DCDD_0393,Adult (26-40),Male,Civil Servant,Mobility Impairment,adult male civil servant,"adult male civil servant, mobility impairment"
DCDD_0394,Adult (26-40),Male,Civil Servant,Vision Impairment,adult male civil servant,"adult male civil servant, vision impairment"
DCDD_0395,Adult (26-40),Male,Civil Servant,Hearing Impairment,adult male civil servant,"adult male civil servant, hearing impairment"
DCDD_0396,Adult (26-40),Male,Civil Servant,Mental Health Condition,adult male civil servant,"adult male civil servant, mental health condition"
DCDD_0397,Adult (26-40),Male,Unemployed Person,Mobility Impairment,adult male unemployed person,"adult male unemployed person, mobility impairment"
DCDD_0398,Adult (26-40),Male,Unemployed Person,Vision Impairment,adult male unemployed person,"adult male unemployed person, vision impairment"
DCDD_0399,Adult (26-40),Male,Unemployed Person,Hearing Impairment,adult male unemployed person,"adult male unemployed person, hearing impairment"
DCDD_0400,Adult (26-40),Male,Unemployed Person,Mental Health Condition,adult male unemployed person,"adult male unemployed person, mental health condition"
DCDD_0401,Adult (26-40),Female,School Teacher,Mobility Impairment,adult female school teacher,"adult female school teacher, mobility impairment"
DCDD_0402,Adult (26-40),Female,School Teacher,Vision Impairment,adult female school teacher,"adult female school teacher, vision impairment"
DCDD_0403,Adult (26-40),Female,School Teacher,Hearing Impairment,adult female school teacher,"adult female school teacher, hearing impairment"
DCDD_0404,Adult (26-40),Female,School Teacher,Mental Health Condition,adult female school teacher,"adult female school teacher, mental health condition"
DCDD_0405,Adult (26-40),Female,University Professor,Mobility Impairment,adult female university professor,"adult female university professor, mobility impairment"
DCDD_0406,Adult (26-40),Female,University Professor,Vision Impairment,adult female university professor,"adult female university professor, vision impairment"
DCDD_0407,Adult (26-40),Female,University Professor,Hearing Impairment,adult female university professor,"adult female university professor, hearing impairment"
DCDD_0408,Adult (26-40),Female,University Professor,Mental Health Condition,adult female university professor,"adult female university professor, mental health condition"
DCDD_0409,Adult (26-40),Female,Tutor,Mobility Impairment,adult female tutor,"adult female tutor, mobility impairment"
DCDD_0410,Adult (26-40),Female,Tutor,Vision Impairment,adult female tutor,"adult female tutor, vision impairment"
DCDD_0411,Adult (26-40),Female,Tutor,Hearing Impairment,adult female tutor,"adult female tutor, hearing impairment"
DCDD_0412,Adult (26-40),Female,Tutor,Mental Health Condition,adult female tutor,"adult female tutor, mental health condition"
DCDD_0413,Adult (26-40),Female,Doctor,Mobility Impairment,adult female doctor,"adult female doctor, mobility impairment"
DCDD_0414,Adult (26-40),Female,Doctor,Vision Impairment,adult female doctor,"adult female doctor, vision impairment"
DCDD_0415,Adult (26-40),Female,Doctor,Hearing Impairment,adult female doctor,"adult female doctor, hearing impairment"
DCDD_0416,Adult (26-40),Female,Doctor,Mental Health Condition,adult female doctor,"adult female doctor, mental health condition"
DCDD_0417,Adult (26-40),Female,Nurse,Mobility Impairment,adult female nurse,"adult female nurse, mobility impairment"
DCDD_0418,Adult (26-40),Female,Nurse,Vision Impairment,adult female nurse,"adult female nurse, vision impairment"
DCDD_0419,Adult (26-40),Female,Nurse,Hearing Impairment,adult female nurse,"adult female nurse, hearing impairment"
DCDD_0420,Adult (26-40),Female,Nurse,Mental Health Condition,adult female nurse,"adult female nurse, mental health condition"
DCDD_0421,Adult (26-40),Female,Physical Therapist,Mobility Impairment,adult female physical therapist,"adult female physical therapist, mobility impairment"
DCDD_0422,Adult (26-40),Female,Physical Therapist,Vision Impairment,adult female physical therapist,"adult female physical therapist, vision impairment"
DCDD_0423,Adult (26-40),Female,Physical Therapist,Hearing Impairment,adult female physical therapist,"adult female physical therapist, hearing impairment"
DCDD_0424,Adult (26-40),Female,Physical Therapist,Mental Health Condition,adult female physical therapist,"adult female physical therapist, mental health condition"
DCDD_0425,Adult (26-40),Female,Accountant,Mobility Impairment,adult female accountant,"adult female accountant, mobility impairment"
DCDD_0426,Adult (26-40),Female,Accountant,Vision Impairment,adult female accountant,"adult female accountant, vision impairment"
DCDD_0427,Adult (26-40),Female,Accountant,Hearing Impairment,adult female accountant,"adult female accountant, hearing impairment"
DCDD_0428,Adult (26-40),Female,Accountant,Mental Health Condition,adult female accountant,"adult female accountant, mental health condition"
DCDD_0429,Adult (26-40),Female,Investment Analyst,Mobility Impairment,adult female investment analyst,"adult female investment analyst, mobility impairment"
DCDD_0430,Adult (26-40),Female,Investment Analyst,Vision Impairment,adult female investment analyst,"adult female investment analyst, vision impairment"
DCDD_0431,Adult (26-40),Female,Investment Analyst,Hearing Impairment,adult female investment analyst,"adult female investment analyst, hearing impairment"
DCDD_0432,Adult (26-40),Female,Investment Analyst,Mental Health Condition,adult female investment analyst,"adult female investment analyst, mental health condition"
DCDD_0433,Adult (26-40),Female,Bank Teller,Mobility Impairment,adult female bank teller,"adult female bank teller, mobility impairment"
DCDD_0434,Adult (26-40),Female,Bank Teller,Vision Impairment,adult female bank teller,"adult female bank teller, vision impairment"
DCDD_0435,Adult (26-40),Female,Bank Teller,Hearing Impairment,adult female bank teller,"adult female bank teller, hearing impairment"
DCDD_0436,Adult (26-40),Female,Bank Teller,Mental Health Condition,adult female bank teller,"adult female bank teller, mental health condition"
DCDD_0437,Adult (26-40),Female,Software Engineer,Mobility Impairment,adult female software engineer,"adult female software engineer, mobility impairment"
DCDD_0438,Adult (26-40),Female,Software Engineer,Vision Impairment,adult female software engineer,"adult female software engineer, vision impairment"
DCDD_0439,Adult (26-40),Female,Software Engineer,Hearing Impairment,adult female software engineer,"adult female software engineer, hearing impairment"
DCDD_0440,Adult (26-40),Female,Software Engineer,Mental Health Condition,adult female software engineer,"adult female software engineer, mental health condition"
DCDD_0441,Adult (26-40),Female,Data Scientist,Mobility Impairment,adult female data scientist,"adult female data scientist, mobility impairment"
DCDD_0442,Adult (26-40),Female,Data Scientist,Vision Impairment,adult female data scientist,"adult female data scientist, vision impairment"
DCDD_0443,Adult (26-40),Female,Data Scientist,Hearing Impairment,adult female data scientist,"adult female data scientist, hearing impairment"
DCDD_0444,Adult (26-40),Female,Data Scientist,Mental Health Condition,adult female data scientist,"adult female data scientist, mental health condition"
DCDD_0445,Adult (26-40),Female,IT Support Technician,Mobility Impairment,adult female it support technician,"adult female it support technician, mobility impairment"
DCDD_0446,Adult (26-40),Female,IT Support Technician,Vision Impairment,adult female it support technician,"adult female it support technician, vision impairment"
DCDD_0447,Adult (26-40),Female,IT Support Technician,Hearing Impairment,adult female it support technician,"adult female it support technician, hearing impairment"
DCDD_0448,Adult (26-40),Female,IT Support Technician,Mental Health Condition,adult female it support technician,"adult female it support technician, mental health condition"
DCDD_0449,Adult (26-40),Female,Chef,Mobility Impairment,adult female chef,"adult female chef, mobility impairment"
DCDD_0450,Adult (26-40),Female,Chef,Vision Impairment,adult female chef,"adult female chef, vision impairment"
DCDD_0451,Adult (26-40),Female,Chef,Hearing Impairment,adult female chef,"adult female chef, hearing impairment"
DCDD_0452,Adult (26-40),Female,Chef,Mental Health Condition,adult female chef,"adult female chef, mental health condition"
DCDD_0453,Adult (26-40),Female,Hotel Receptionist,Mobility Impairment,adult female hotel receptionist,"adult female hotel receptionist, mobility impairment"
DCDD_0454,Adult (26-40),Female,Hotel Receptionist,Vision Impairment,adult female hotel receptionist,"adult female hotel receptionist, vision impairment"
DCDD_0455,Adult (26-40),Female,Hotel Receptionist,Hearing Impairment,adult female hotel receptionist,"adult female hotel receptionist, hearing impairment"
DCDD_0456,Adult (26-40),Female,Hotel Receptionist,Mental Health Condition,adult female hotel receptionist,"adult female hotel receptionist, mental health condition"
DCDD_0457,Adult (26-40),Female,Waiter,Mobility Impairment,adult female waiter,"adult female waiter, mobility impairment"
DCDD_0458,Adult (26-40),Female,Waiter,Vision Impairment,adult female waiter,"adult female waiter, vision impairment"
DCDD_0459,Adult (26-40),Female,Waiter,Hearing Impairment,adult female waiter,"adult female waiter, hearing impairment"
DCDD_0460,Adult (26-40),Female,Waiter,Mental Health Condition,adult female waiter,"adult female waiter, mental health condition"
DCDD_0461,Adult (26-40),Female,Journalist,Mobility Impairment,adult female journalist,"adult female journalist, mobility impairment"
DCDD_0462,Adult (26-40),Female,Journalist,Vision Impairment,adult female journalist,"adult female journalist, vision impairment"
DCDD_0463,Adult (26-40),Female,Journalist,Hearing Impairment,adult female journalist,"adult female journalist, hearing impairment"
DCDD_0464,Adult (26-40),Female,Journalist,Mental Health Condition,adult female journalist,"adult female journalist, mental health condition"
DCDD_0465,Adult (26-40),Female,Photographer,Mobility Impairment,adult female photographer,"adult female photographer, mobility impairment"
DCDD_0466,Adult (26-40),Female,Photographer,Vision Impairment,adult female photographer,"adult female photographer, vision impairment"
DCDD_0467,Adult (26-40),Female,Photographer,Hearing Impairment,adult female photographer,"adult female photographer, hearing impairment"
DCDD_0468,Adult (26-40),Female,Photographer,Mental Health Condition,adult female photographer,"adult female photographer, mental health condition"
DCDD_0469,Adult (26-40),Female,Graphic Designer,Mobility Impairment,adult female graphic designer,"adult female graphic designer, mobility impairment"
DCDD_0470,Adult (26-40),Female,Graphic Designer,Vision Impairment,adult female graphic designer,"adult female graphic designer, vision impairment"
DCDD_0471,Adult (26-40),Female,Graphic Designer,Hearing Impairment,adult female graphic designer,"adult female graphic designer, hearing impairment"
DCDD_0472,Adult (26-40),Female,Graphic Designer,Mental Health Condition,adult female graphic designer,"adult female graphic designer, mental health condition"
DCDD_0473,Adult (26-40),Female,Construction Worker,Mobility Impairment,adult female construction worker,"adult female construction worker, mobility impairment"
DCDD_0474,Adult (26-40),Female,Construction Worker,Vision Impairment,adult female construction worker,"adult female construction worker, vision impairment"
DCDD_0475,Adult (26-40),Female,Construction Worker,Hearing Impairment,adult female construction worker,"adult female construction worker, hearing impairment"
DCDD_0476,Adult (26-40),Female,Construction Worker,Mental Health Condition,adult female construction worker,"adult female construction worker, mental health condition"
DCDD_0477,Adult (26-40),Female,Electrician,Mobility Impairment,adult female electrician,"adult female electrician, mobility impairment"
DCDD_0478,Adult (26-40),Female,Electrician,Vision Impairment,adult female electrician,"adult female electrician, vision impairment"
