ID,Age Group,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0270,senior (60+),doctor,vision impairment,"senior, doctor","senior, doctor, vision impairment"
DCDD_0271,senior (60+),doctor,hearing impairment,"senior, doctor","senior, doctor, hearing impairment"
DCDD_0272,senior (60+),doctor,mental health condition,"senior, doctor","senior, doctor, mental health condition"
DCDD_0273,senior (60+),nurse,mobility impairment,"senior, nurse","senior, nurse, mobility impairment"
DCDD_0274,senior (60+),nurse,vision impairment,"senior, nurse","senior, nurse, vision impairment"
DCDD_0275,senior (60+),nurse,hearing impairment,"senior, nurse","senior, nurse, hearing impairment"
DCDD_0276,senior (60+),nurse,mental health condition,"senior, nurse","senior, nurse, mental health condition"
DCDD_0277,senior (60+),physical therapist,mobility impairment,"senior, physical therapist","senior, physical therapist, mobility impairment"
DCDD_0278,senior (60+),physical therapist,vision impairment,"senior, physical therapist","senior, physical therapist, vision impairment"
DCDD_0279,senior (60+),physical therapist,hearing impairment,"senior, physical therapist","senior, physical therapist, hearing impairment"
DCDD_0280,senior (60+),physical therapist,mental health condition,"senior, physical therapist","senior, physical therapist, mental health condition"
DCDD_0281,senior (60+),accountant,mobility impairment,"senior, accountant","senior, accountant, mobility impairment"
DCDD_0282,senior (60+),accountant,vision impairment,"senior, accountant","senior, accountant, vision impairment"
DCDD_0283,senior (60+),accountant,hearing impairment,"senior, accountant","senior, accountant, hearing impairment"
DCDD_0284,senior (60+),accountant,mental health condition,"senior, accountant","senior, accountant, mental health condition"
DCDD_0285,senior (60+),investment analyst,mobility impairment,"senior, investment analyst","senior, investment analyst, mobility impairment"
DCDD_0286,senior (60+),investment analyst,vision impairment,"senior, investment analyst","senior, investment analyst, vision impairment"
DCDD_0287,senior (60+),investment analyst,hearing impairment,"senior, investment analyst","senior, investment analyst, hearing impairment"
DCDD_0288,senior (60+),investment analyst,mental health condition,"senior, investment analyst","senior, investment analyst, mental health condition"
DCDD_0289,senior (60+),bank teller,mobility impairment,"senior, bank teller","senior, bank teller, mobility impairment"
DCDD_0290,senior (60+),bank teller,vision impairment,"senior, bank teller","senior, bank teller, vision impairment"
DCDD_0291,senior (60+),bank teller,hearing impairment,"senior, bank teller","senior, bank teller, hearing impairment"
DCDD_0292,senior (60+),bank teller,mental health condition,"senior, bank teller","senior, bank teller, mental health condition"
DCDD_0293,senior (60+),software engineer,mobility impairment,"senior, software engineer","senior, software engineer, mobility impairment"
DCDD_0294,senior (60+),software engineer,vision impairment,"senior, software engineer","senior, software engineer, vision impairment"
DCDD_0295,senior (60+),software engineer,hearing impairment,"senior, software engineer","senior, software engineer, hearing impairment"
DCDD_0296,senior (60+),software engineer,mental health condition,"senior, software engineer","senior, software engineer, mental health condition"
DCDD_0297,senior (60+),data scientist,mobility impairment,"senior, data scientist","senior, data scientist, mobility impairment"
DCDD_0298,senior (60+),data scientist,vision impairment,"senior, data scientist","senior, data scientist, vision impairment"
DCDD_0299,senior (60+),data scientist,hearing impairment,"senior, data scientist","senior, data scientist, hearing impairment"
DCDD_0300,senior (60+),data scientist,mental health condition,"senior, data scientist","senior, data scientist, mental health condition"
DCDD_0301,senior (60+),IT support technician,mobility impairment,"senior, IT support technician","senior, IT support technician, mobility impairment"
DCDD_0302,senior (60+),IT support technician,vision impairment,"senior, IT support technician","senior, IT support technician, vision impairment"
DCDD_0303,senior (60+),IT support technician,hearing impairment,"senior, IT support technician","senior, IT support technician, hearing impairment"
DCDD_0304,senior (60+),IT support technician,mental health condition,"senior, IT support technician","senior, IT support technician, mental health condition"
DCDD_0305,senior (60+),chef,mobility impairment,"senior, chef","senior, chef, mobility impairment"
DCDD_0306,senior (60+),chef,vision impairment,"senior, chef","senior, chef, vision impairment"
DCDD_0307,senior (60+),chef,hearing impairment,"senior, chef","senior, chef, hearing impairment"
DCDD_0308,senior (60+),chef,mental health condition,"senior, chef","senior, chef, mental health condition"
DCDD_0309,senior (60+),hotel receptionist,mobility impairment,"senior, hotel receptionist","senior, hotel receptionist, mobility impairment"
DCDD_0310,senior (60+),hotel receptionist,vision impairment,"senior, hotel receptionist","senior, hotel receptionist, vision impairment"
DCDD_0311,senior (60+),hotel receptionist,hearing impairment,"senior, hotel receptionist","senior, hotel receptionist, hearing impairment"
DCDD_0312,senior (60+),hotel receptionist,mental health condition,"senior, hotel receptionist","senior, hotel receptionist, mental health condition"
DCDD_0313,senior (60+),waiter,mobility impairment,"senior, waiter","senior, waiter, mobility impairment"
DCDD_0314,senior (60+),waiter,vision impairment,"senior, waiter","senior, waiter, vision impairment"
DCDD_0315,senior (60+),waiter,hearing impairment,"senior, waiter","senior, waiter, hearing impairment"
DCDD_0316,senior (60+),waiter,mental health condition,"senior, waiter","senior, waiter, mental health condition"
DCDD_0317,senior (60+),journalist,mobility impairment,"senior, journalist","senior, journalist, mobility impairment"
DCDD_0318,senior (60+),journalist,vision impairment,"senior, journalist","senior, journalist, vision impairment"
DCDD_0319,senior (60+),journalist,hearing impairment,"senior, journalist","senior, journalist, hearing impairment"
DCDD_0320,senior (60+),journalist,mental health condition,"senior, journalist","senior, journalist, mental health condition"
DCDD_0321,senior (60+),photographer,mobility impairment,"senior, photographer","senior, photographer, mobility impairment"
DCDD_0322,senior (60+),photographer,vision impairment,"senior, photographer","senior, photographer, vision impairment"
DCDD_0323,senior (60+),photographer,hearing impairment,"senior, photographer","senior, photographer, hearing impairment"
DCDD_0324,senior (60+),photographer,mental health condition,"senior, photographer","senior, photographer, mental health condition"
DCDD_0325,senior (60+),graphic designer,mobility impairment,"senior, graphic designer","senior, graphic designer, mobility impairment"
DCDD_0326,senior (60+),graphic designer,vision impairment,"senior, graphic designer","senior, graphic designer, vision impairment"
DCDD_0327,senior (60+),graphic designer,hearing impairment,"senior, graphic designer","senior, graphic designer, hearing impairment"
DCDD_0328,senior (60+),graphic designer,mental health condition,"senior, graphic designer","senior, graphic designer, mental health condition"
DCDD_0329,senior (60+),electrician,mobility impairment,"senior, electrician","senior, electrician, mobility impairment"
DCDD_0330,senior (60+),electrician,vision impairment,"senior, electrician","senior, electrician, vision impairment"
DCDD_0331,senior (60+),electrician,hearing impairment,"senior, electrician","senior, electrician, hearing impairment"
DCDD_0332,senior (60+),electrician,mental health condition,"senior, electrician","senior, electrician, mental health condition"
DCDD_0333,senior (60+),factory worker,mobility impairment,"senior, factory worker","senior, factory worker, mobility impairment"
DCDD_0334,senior (60+),factory worker,vision impairment,"senior, factory worker","senior, factory worker, vision impairment"
DCDD_0335,senior (60+),factory worker,hearing impairment,"senior, factory worker","senior, factory worker, hearing impairment"
DCDD_0336,senior (60+),factory worker,mental health condition,"senior, factory worker","senior, factory worker, mental health condition"
DCDD_0337,senior (60+),farmer,mobility impairment,"senior, farmer","senior, farmer, mobility impairment"
DCDD_0338,senior (60+),farmer,vision impairment,"senior, farmer","senior, farmer, vision impairment"
DCDD_0339,senior (60+),farmer,hearing impairment,"senior, farmer","senior, farmer, hearing impairment"
DCDD_0340,senior (60+),farmer,mental health condition,"senior, farmer","senior, farmer, mental health condition"
DCDD_0341,senior (60+),agricultural technician,mobility impairment,"senior, agricultural technician","senior, agricultural technician, mobility impairment"
DCDD_0342,senior (60+),agricultural technician,vision impairment,"senior, agricultural technician","senior, agricultural technician, vision impairment"
DCDD_0343,senior (60+),agricultural technician,hearing impairment,"senior, agricultural technician","senior, agricultural technician, hearing impairment"
DCDD_0344,senior (60+),agricultural technician,mental health condition,"senior, agricultural technician","senior, agricultural technician, mental health condition"
DCDD_0345,senior (60+),fisher,mobility impairment,"senior, fisher","senior, fisher, mobility impairment"
DCDD_0346,senior (60+),fisher,vision impairment,"senior, fisher","senior, fisher, vision impairment"
DCDD_0347,senior (60+),fisher,hearing impairment,"senior, fisher","senior, fisher, hearing impairment"
DCDD_0348,senior (60+),fisher,mental health condition,"senior, fisher","senior, fisher, mental health condition"
DCDD_0349,senior (60+),police officer,mobility impairment,"senior, police officer","senior, police officer, mobility impairment"
DCDD_0350,senior (60+),police officer,vision impairment,"senior, police officer","senior, police officer, vision impairment"
DCDD_0351,senior (60+),police officer,hearing impairment,"senior, police officer","senior, police officer, hearing impairment"
DCDD_0352,senior (60+),police officer,mental health condition,"senior, police officer","senior, police officer, mental health condition"
DCDD_0353,senior (60+),civil servant,mobility impairment,"senior, civil servant","senior, civil servant, mobility impairment"
DCDD_0354,senior (60+),civil servant,vision impairment,"senior, civil servant","senior, civil servant, vision impairment"
DCDD_0355,senior (60+),civil servant,hearing impairment,"senior, civil servant","senior, civil servant, hearing impairment"
DCDD_0356,senior (60+),civil servant,mental health condition,"senior, civil servant","senior, civil servant, mental health condition"
DCDD_0357,senior (60+),unemployed person,mobility impairment,"senior, unemployed person","senior, unemployed person, mobility impairment"
DCDD_0358,senior (60+),unemployed person,vision impairment,"senior, unemployed person","senior, unemployed person, vision impairment"
DCDD_0359,senior (60+),unemployed person,hearing impairment,"senior, unemployed person","senior, unemployed person, hearing impairment"
DCDD_0360,senior (60+),unemployed person,mental health condition,"senior, unemployed person","senior, unemployed person, mental health condition"
DCDD_0361,senior (60+),retired person,mobility impairment,"senior, retired person","senior, retired person, mobility impairment"
DCDD_0362,senior (60+),retired person,vision impairment,"senior, retired person","senior, retired person, vision impairment"
DCDD_0363,senior (60+),retired person,hearing impairment,"senior, retired person","senior, retired person, hearing impairment"
DCDD_0364,senior (60+),retired person,mental health condition,"senior, retired person","senior, retired person, mental health condition"
